0	8
2411016	416
124	376
150892	3088
6048	552
1039295	29012
964430	32900
9201	13440
88376	7508
28236	16876
6	56
48931	17012
13157	100
13959	24696
23734	15652
25329	20220
27456	27672
9	44
169	844
676	3400
12	88
3732	3292
430	2148
24006	13188
1729	6680
87	488
23	168
2	24
497	2324
2197	4608
125	432
234	1316
400	2076
39	172
189	780
3	24
2	24
150	732
174	864
101	176
8	72
384	1224
965	2116
2	24
656	3600
205	560
7	48
1867	5824
2207	4612
101	440
395	1436
1727	4656
2360	9592
2193	5200
526	2716
8	68
517	1808
2	24
6843	10332
60	348
2937	6764
448	964
62	344
2	24
181	1084
12	96
175	668
11	96
1	16
33300	19696
2187	4640
6617	10304
479	1228
5786	12072
928	4496
16	120
46	216
2236	5080
2028	5068
1	16
5803	11892
10889	7812
32	184
14	108
5088	8468
3187	10920
80	536
20	136
26	152
220	1448
3959	10880
203	912
1048	5376
1443	3552
876	2216
2703	8004
149	584
1669	5724
2	24
33	148
2073	6532
3	24
38	56
125	872
276	1420
727	3256
76	176
4609	10764
290	1116
21585	37084
9	80
74	340
17	136
28154	25520
547	1884
86	608
82	592
10786	14032
50	372
324	1716
7	56
1	16
533	1176
18	144
49	272
122	600
968647	94148
345	1712
9	32
21571	17020
894	3596
14154	26584
300	1572
102190	34576
117	752
9333	24
3102	696
515	1436
1837	676
61376	33816
4922	14136
471	1652
12917	1944
2919	1940
57	276
206905	24
56	380
1448	5484
28915	2012
976	2004
101570	40
65	336
22096	32456
24240	24
307548	88
2573	592
1978	596
29057	56
1	16
407	1192
6	32
1219	3516
25	188
635	1912
5	48
1758	4964
5	48
523	2716
1	16
503	2200
21	152
3152	7204
940	3480
1	16
4864	9108
1457	5360
372	1572
2462	7256
1265	5160
39	176
823	3052
1650	5632
12008	10788
5845	10244
18745	12724
5750	9204
245	944
2878	7804
285	1276
13156	11124
131	760
1	16
2	24
18	104
15	120
589	2896
463	2064
482	2728
285	1524
9314	12300
340	2264
619	2896
4258	7124
1	16
14	112
365	2120
35	192
911	3616
136	372
9	72
11	64
118	544
164	904
306	1528
2018	8312
11549	12164
8046	12408
51	372
130	732
2396	7468
563	3064
588	2772
419	2500
421	1604
230	772
197	1260
1252	2716
10	80
2	24
230	1412
1	16
146	716
1	16
19	120
992	3680
1	16
18	128
57	360
11734	10120
1094	5352
24110	11328
1	16
10	68
6757	12792
414	2460
1655	5804
11	16
3	12
334	92
4296	1112
44	64
45	52
2760	516
2	24
25	12
1	16
1063	516
370	64
4203	1112
771	2852
116	328
754	2524
2	24
49	100
1006	3416
6	48
4285	12344
992	1760
23	108
55	164
1736	6424
140	432
1	16
803	3416
1	16
90	304
1042	1620
1365	3540
722	2564
141	628
26	176
3568	7188
158	772
617	1940
626	2208
392	1416
1340	3388
1238	2988
3	32
14	88
863	2884
11	84
5	48
555	536
1269	3412
147	684
51	268
802	3632
66	332
12	104
113	636
4	40
439	1468
6	48
114	612
388	1212
4	40
57	328
18	116
6	48
696	2548
6	48
37	176
392	1460
1	16
271	984
23	176
82	636
132	804
16	132
1576	4144
90	644
81	444
23	136
215	1028
661	3556
97	500
137	880
1	16
88	272
77	424
33	184
19	148
427	1500
216	912
71	428
67	252
78	268
2	24
382	1252
1	16
153	572
198	1156
3800	4048
170	884
258	1012
97	388
35	192
48	340
395	2120
1578	5344
3	32
337	1460
166	940
157	632
533	2060
178	568
2432	5876
13484	13848
13	112
21	160
734	2520
2593	9916
45	288
2482	10136
132	376
11	88
855	2932
169	1000
5	40
3053	6640
11	40
2003	5932
45	92
131	516
1	16
1537	2720
631	2224
18191	22684
13	104
70	476
730	3836
1	16
1	16
2	24
1	16
3	32
1	16
1	16
1	16
3	16
1	16
5	24
8	24
10	24
12	40
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
13	20
14	20
15	36
16	36
1	16
18	32
20	48
1	16
4	32
10	16
11	16
16	48
17	48
3	24
7	40
2	24
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
2	16
1	16
2	16
1	16
1	16
1	16
2	16
2	16
2	16
1	16
1	16
1	16
1	16
1	16
1	16
3	16
6	40
1	16
1	16
2	24
32	36
37	52
2	16
1	16
1	16
1	16
12	16
21	48
1	16
8	48
1	16
1	16
2	24
1	16
1	16
2	16
4	24
1	16
1	16
1	16
3	32
3	16
4	24
1	16
1	16
1	16
1	16
2	24
2	16
1	16
1	16
1	16
2	16
1	16
1	16
1	16
1	16
1	16
4	16
1	16
2	16
1	16
1	16
2	16
2	16
1	16
2	24
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
2	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
2	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
9	24
1	16
1	16
1	16
1	16
4	20
2	16
1	16
3	24
4	20
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
2	24
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
2	24
2	16
1	16
2	24
4	20
5	28
1	16
2	16
1	16
1	16
1	16
4	16
5	24
6	32
1	16
1	16
2	16
1	16
4	16
7	40
8	24
11	32
36	36
42	52
1	16
1	16
1	16
4	40
2	16
2	16
15	24
29	68
1	16
2	24
1	16
2	16
1	16
1	16
1	16
3	24
3	24
5	16
7	32
2	16
1	16
1	16
3	24
3	16
5	24
1	16
5	24
7	40
1	16
2	16
2	24
3	24
1	16
1	16
1	16
1	16
1	16
1	16
3	28
1	16
2	16
2	16
2	16
1	16
1	16
1	16
4	20
3	16
6	32
1	16
2	24
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
2	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
3	16
1	16
1	16
2	16
1	16
8	16
1	16
1	16
3	16
1	16
1	16
1	16
1	16
2	16
2	16
1	16
2	16
1	16
1	16
1	16
1	16
1	16
5	16
1	16
1	16
1	16
1	16
11	28
12	36
2	16
1	16
2	16
2	16
1	16
1	16
2	16
1	16
2	16
1	16
1	16
4	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
2	16
1	16
1	16
1	16
2	16
2	16
2	16
1	16
3	24
1	16
1	16
1	16
1	16
2	16
1	16
1	16
1	16
2	16
1	16
1	16
1	16
2	16
1	16
1	16
1	16
1	16
3	16
2	24
1	16
1	16
2	24
1	16
1	16
1	16
1	16
1	16
1	16
3	20
1	16
1	16
1	16
1	16
1	16
1	16
2	16
1	16
12	40
21	44
2	24
1	16
1	16
2	16
3	16
1	16
1	16
3	16
1	16
1	16
1	16
12	16
6	16
1	16
2	16
2	16
6	20
2	16
11	44
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
2	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
3	24
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
3	32
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
2	24
2	16
1	16
1	16
1	16
1	16
1	16
3	16
8	24
1	16
1	16
2	24
1	16
1	16
1	16
2	16
3	24
3	16
4	24
1	16
5	20
7	28
3	16
5	16
8	32
3	24
1	16
5	16
8	40
44	44
53	60
2	16
6	40
4	24
16	24
32	68
3	16
5	24
2	16
6	32
7	16
9	32
10	28
15	56
4	32
6	24
8	24
11	40
1	16
1	16
1	16
1	16
1	16
6	20
10	44
11	44
1	16
1	16
2	24
1	16
2	24
1	16
1	16
1	16
1	16
1	16
1	16
2	16
1	16
1	16
1	16
1	16
1	16
4	36
1	16
1	16
1	16
3	16
1	16
1	16
1	16
4	16
1	16
2	24
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
2	24
7	20
10	36
1	16
1	16
2	16
3	24
1	16
1	16
1	16
1	16
1	16
1	16
1	16
2	16
1	16
1	16
2	16
3	24
1	16
1	16
1	16
1	16
2	24
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
2	24
1	16
1	16
1	16
2	16
1	16
